event_id,parent_channel,event_kind,multiplicity,stoich_HI,stoich_HII,stoich_HeI,stoich_HeII,stoich_HeIII,population_owner,photon_owner,energy_owner,direct_HeI_to_HeIII
EXT_HI_PHOTO,EXTERNAL,MATERIAL_IONIZATION,1,-1,1,0,0,0,H_HE_CHEMISTRY,EXTERNAL_GROUP,RESOLVED_EXTERNAL_PHOTOHEAT,False
EXT_HEI_PHOTO,EXTERNAL,MATERIAL_IONIZATION,1,0,0,-1,1,0,H_HE_CHEMISTRY,EXTERNAL_GROUP,RESOLVED_EXTERNAL_PHOTOHEAT,False
EXT_HEII_PHOTO,EXTERNAL,MATERIAL_IONIZATION,1,0,0,0,-1,1,H_HE_CHEMISTRY,EXTERNAL_GROUP,RESOLVED_EXTERNAL_PHOTOHEAT,False
COLL_HI,COLLISIONAL,MATERIAL_IONIZATION,1,-1,1,0,0,0,H_HE_CHEMISTRY,NONE,COLLISIONAL_COOLING,False
COLL_HEI,COLLISIONAL,MATERIAL_IONIZATION,1,0,0,-1,1,0,H_HE_CHEMISTRY,NONE,COLLISIONAL_COOLING,False
COLL_HEII,COLLISIONAL,MATERIAL_IONIZATION,1,0,0,0,-1,1,H_HE_CHEMISTRY,NONE,COLLISIONAL_COOLING,False
HII_B_PARENT,HII_CASE_B,PARENT_RECOMBINATION,1,1,-1,0,0,0,H_HE_CHEMISTRY,CASE_B_LOCAL,RECOMBINATION_COOLING,False
HEII_G_PARENT,HEII_GROUND,PARENT_RECOMBINATION,1,0,0,1,-1,0,H_HE_CHEMISTRY,OTS_FREE_BOUND_24P6,RECOMBINATION_COOLING,False
HEII_G_CHILD_H,HEII_GROUND,CHILD_ABSORPTION,y,-1,1,0,0,0,H_HE_CHEMISTRY,OTS_FREE_BOUND_24P6,OTS_EXCESS_UNRESOLVED,False
HEII_G_CHILD_HEI,HEII_GROUND,CHILD_ABSORPTION,1-y,0,0,-1,1,0,H_HE_CHEMISTRY,OTS_FREE_BOUND_24P6,OTS_EXCESS_UNRESOLVED,False
HEII_B_PARENT,HEII_CASE_B,PARENT_RECOMBINATION,1,0,0,1,-1,0,H_HE_CHEMISTRY,OTS_CASCADE_HEII,RECOMBINATION_COOLING,False
HEII_B_CHILD_H,HEII_CASE_B,CHILD_ABSORPTION,p,-1,1,0,0,0,H_HE_CHEMISTRY,OTS_CASCADE_HEII,OTS_EXCESS_UNRESOLVED,False
HEII_B_NONIONIZING,HEII_CASE_B,RADIATIVE_REMAINDER,1-p,0,0,0,0,0,NONE,OTS_NONIONIZING,OTS_RADIATION_UNRESOLVED,False
HEIII_G_PARENT,HEIII_GROUND,PARENT_RECOMBINATION,1,0,0,0,1,-1,H_HE_CHEMISTRY,OTS_FREE_BOUND_54P4,RECOMBINATION_COOLING,False
HEIII_G_CHILD_H,HEIII_GROUND,CHILD_ABSORPTION,1-y2a-y2b,-1,1,0,0,0,H_HE_CHEMISTRY,OTS_FREE_BOUND_54P4,OTS_EXCESS_UNRESOLVED,False
HEIII_G_CHILD_HEI,HEIII_GROUND,CHILD_ABSORPTION,y2b,0,0,-1,1,0,H_HE_CHEMISTRY,OTS_FREE_BOUND_54P4,OTS_EXCESS_UNRESOLVED,False
HEIII_G_CHILD_HEII,HEIII_GROUND,CHILD_ABSORPTION,y2a,0,0,0,-1,1,H_HE_CHEMISTRY,OTS_FREE_BOUND_54P4,OTS_EXCESS_UNRESOLVED,False
HEIII_N2_PARENT,HEIII_N2_BALMER,PARENT_RECOMBINATION,1,0,0,0,1,-1,H_HE_CHEMISTRY,OTS_BALMER_CONTINUUM,RECOMBINATION_COOLING,False
HEIII_N2_CHILD_H,HEIII_N2_BALMER,CHILD_ABSORPTION,1,-1,1,0,0,0,H_HE_CHEMISTRY,OTS_BALMER_CONTINUUM,OTS_EXCESS_UNRESOLVED,False
HEIII_CAS_PARENT,HEIII_CASCADE,PARENT_RECOMBINATION,1,0,0,0,1,-1,H_HE_CHEMISTRY,OTS_CASCADE_HEIII,RECOMBINATION_COOLING,False
HEIII_2PH_CHILD_H,HEIII_CASCADE,CHILD_ABSORPTION,v*((ell-m)+m*y),-1,1,0,0,0,H_HE_CHEMISTRY,OTS_TWO_PHOTON,OTS_EXCESS_UNRESOLVED,False
HEIII_2PH_CHILD_HEI,HEIII_CASCADE,CHILD_ABSORPTION,v*m*(1-y),0,0,-1,1,0,H_HE_CHEMISTRY,OTS_TWO_PHOTON,OTS_EXCESS_UNRESOLVED,False
HEIII_2PH_NONIONIZING,HEIII_CASCADE,RADIATIVE_REMAINDER,v*(2-ell),0,0,0,0,0,NONE,OTS_TWO_PHOTON,OTS_RADIATION_UNRESOLVED,False
HEIII_LYA_CHILD_H,HEIII_CASCADE,CHILD_ABSORPTION,(1-v)*f*z,-1,1,0,0,0,H_HE_CHEMISTRY,OTS_HEII_LYA_40P8,OTS_LYA_EXCESS_IDENTIFIABLE_BUT_NOT_IMPLEMENTED,False
HEIII_LYA_CHILD_HEI,HEIII_CASCADE,CHILD_ABSORPTION,(1-v)*f*(1-z),0,0,-1,1,0,H_HE_CHEMISTRY,OTS_HEII_LYA_40P8,OTS_LYA_EXCESS_IDENTIFIABLE_BUT_NOT_IMPLEMENTED,False
HEIII_LYA_ESCAPE,HEIII_CASCADE,RADIATIVE_ESCAPE,(1-v)*(1-f),0,0,0,0,0,NONE,OTS_HEII_LYA_40P8,OTS_ESCAPE_RADIATION,False
