shape_lane,interval_index,substep,z_mid,allocated_H_sum_cMpc3,single_Jeans_cloud_count_sum_auditor_cMpc3,volume_filling_macro_max,mass_cap_slack_min_cMpc3,geometry_mass_inversion_used,policy
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,5.287538531899683e+65,1.1065892110200386,0.03864712506207697,2.6206993183637554e+62,False,single-size Jeans cloud retained only as density/radius/count/volume auditor
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,5.346006235809437e+65,1.1191145001338052,0.03907511968132529,2.618397014161008e+62,False,single-size Jeans cloud retained only as density/radius/count/volume auditor
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,6.76641943200005e+65,1.2297451799445294,0.05195995134361708,2.566950065824384e+62,False,single-size Jeans cloud retained only as density/radius/count/volume auditor
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,6.714036018719884e+65,1.2164457099441128,0.051585941518892335,2.569410777489412e+62,False,single-size Jeans cloud retained only as density/radius/count/volume auditor
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,5.75,1.195703057371628e+66,1.8398293734095694,0.09065437860225976,2.2828851180888934e+62,False,single-size Jeans cloud retained only as density/radius/count/volume auditor
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,5.75,1.1375815617910117e+66,1.7673708524672707,0.08662567701153562,2.314093753218666e+62,False,single-size Jeans cloud retained only as density/radius/count/volume auditor
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,5.65,5.4077176455771e+65,0.9430534783688417,0.03780206772111929,2.633216016201771e+62,False,single-size Jeans cloud retained only as density/radius/count/volume auditor
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,5.65,6.188524406046253e+65,1.080168751032769,0.043235857342513145,2.609594435202692e+62,False,single-size Jeans cloud retained only as density/radius/count/volume auditor
LOCAL_NEUTRAL_HAZARD_PRIMARY,4,1,5.55,6.859678396727041e+65,1.2339225429610128,0.05010117445357146,2.5941557906128265e+62,False,single-size Jeans cloud retained only as density/radius/count/volume auditor
LOCAL_NEUTRAL_HAZARD_PRIMARY,4,2,5.55,7.123058011280247e+65,1.2623034846183157,0.05187406942269045,2.577658337945742e+62,False,single-size Jeans cloud retained only as density/radius/count/volume auditor
