shape_lane,interval_index,substep,z_mid,dt_Myr,tau_Myr,equilibrium_pass,projection_all_refinements_pass,completed_macro_substeps_n1,completed_macro_substeps_n2,completed_macro_substeps_n4,mass_l1_relative_n1_max,mass_l1_relative_n2_max,mass_l1_relative_n4_max,mass_l1_relative_monotone,mass_l1_relative_order_2_to_4,mass_l1_relative_convergence_status,ionized_l1_relative_n1_max,ionized_l1_relative_n2_max,ionized_l1_relative_n4_max,ionized_l1_relative_monotone,ionized_l1_relative_order_2_to_4,ionized_l1_relative_convergence_status,thermal_l1_relative_n1_max,thermal_l1_relative_n2_max,thermal_l1_relative_n4_max,thermal_l1_relative_monotone,thermal_l1_relative_order_2_to_4,thermal_l1_relative_convergence_status,capacity_l1_relative_n1_max,capacity_l1_relative_n2_max,capacity_l1_relative_n4_max,capacity_l1_relative_monotone,capacity_l1_relative_order_2_to_4,capacity_l1_relative_convergence_status,current_l1_relative_n1_max,current_l1_relative_n2_max,current_l1_relative_n4_max,current_l1_relative_monotone,current_l1_relative_order_2_to_4,current_l1_relative_convergence_status,opacity_l1_relative_n1_max,opacity_l1_relative_n2_max,opacity_l1_relative_n4_max,opacity_l1_relative_monotone,opacity_l1_relative_order_2_to_4,opacity_l1_relative_convergence_status,combined_extensive_l1_relative_n1_max,combined_extensive_l1_relative_n2_max,combined_extensive_l1_relative_n4_max,combined_extensive_l1_relative_monotone,combined_extensive_l1_relative_order_2_to_4,combined_extensive_l1_relative_convergence_status,convergence_pass
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,10.117419563765695,10.0,True,True,18,36,72,9.375064673779207e-05,5.435611830310926e-05,2.9628635710582687e-05,True,0.8754502365319079,PASS,9.382180587265604e-05,5.439737598493778e-05,2.96511246016889e-05,True,0.8754502365316262,PASS,9.187373537076976e-05,5.3267895236289393e-05,2.9035463022288756e-05,True,0.8754502365322913,PASS,9.375064673778823e-05,5.4356118303107395e-05,2.9628635710577168e-05,True,0.8754502365321273,PASS,0.00015212051949922977,0.0002273783105909103,0.0002517456313195019,False,-0.14687209913533888,FAIL,9.82692707536268e-07,1.468858189117123e-06,1.6262720434953094e-06,False,-0.1468734945997736,FAIL,0.00015212051949922977,0.0002273783105909103,0.0002517456313195019,False,-0.14687209913533888,FAIL,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,10.117419563765695,100.0,True,True,18,36,72,2.0185702185879555e-05,1.0406157597944447e-05,5.285614351443536e-06,True,0.9772943896139449,PASS,2.0201023649303817e-05,1.0414056137308146e-05,5.289626267712949e-06,True,0.9772943896151751,PASS,1.9781579385645088e-05,1.0197823723347569e-05,5.179795031761935e-06,True,0.9772943896153609,PASS,2.0185702185878556e-05,1.040615759795765e-05,5.285614351448634e-06,True,0.9772943896143839,PASS,3.275347541372921e-05,0.000344860373361175,0.0005003422319866738,False,-0.5369028663425175,FAIL,2.1158617545873438e-07,2.227789744089791e-06,3.23220201524944e-06,False,-0.5369042911050026,FAIL,3.275347541372921e-05,0.000344860373361175,0.0005003422319866738,False,-0.5369028663425175,FAIL,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,10.117419563765695,300.0,True,True,18,36,72,7.249536103135422e-06,3.6643934478606326e-06,1.8422874395386822e-06,True,0.9920762418259951,PASS,7.255038686161775e-06,3.667174816033073e-06,1.8436857827448457e-06,True,0.9920762418187975,PASS,7.104398579381499e-06,3.591031375630646e-06,1.8054043847977684e-06,True,0.9920762418089542,PASS,7.249536103134043e-06,3.664393447826129e-06,1.8422874395638558e-06,True,0.9920762417926972,PASS,1.1763152965622273e-05,0.00035655407778318986,0.000528877211515604,False,-0.5688119095759218,FAIL,7.598950895214544e-08,2.303330799094328e-06,3.41653752257448e-06,False,-0.5688133489198727,FAIL,1.1763152965622273e-05,0.00035655407778318986,0.000528877211515604,False,-0.5688119095759218,FAIL,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,10.117419563765695,10.0,True,True,18,36,72,0.0023064688674646503,0.0013372781840413563,0.0007289285805438513,True,0.8754502365359792,PASS,0.002308161439949476,0.0013382595284205617,0.0007294634953984326,True,0.8754502365359903,PASS,0.0022677365078785415,0.0013148213712824068,0.0007166877372823124,True,0.8754502365359876,PASS,0.002324623455347715,0.0013478041159794443,0.0007346660947859167,True,0.8754502365359661,PASS,0.002241698794270549,0.001299724845653376,0.0007084588667830474,True,0.8754502365360717,PASS,1.4443723772079816e-05,8.374392981923748e-06,4.564745362690482e-06,True,0.8754502365360114,PASS,0.002324623455347715,0.0013478041159794443,0.0007346660947859167,True,0.8754502365359661,PASS,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,10.117419563765695,100.0,True,True,18,36,72,0.0004966119731384145,0.0002560140048579347,0.00013003755570603916,True,0.9772943895277059,PASS,0.0004969764054415006,0.00025620187743948837,0.00013013298209215828,True,0.9772943895281367,PASS,0.00048827240532992716,0.0002517147807777574,0.00012785384473628592,True,0.9772943895277026,PASS,0.0005005208859519855,0.00025802913231796003,0.00013106110224786883,True,0.9772943895279428,PASS,0.000482666155658299,0.00024882464016838377,0.0001263858515274453,True,0.9772943895281408,PASS,3.1099167489754413e-06,1.603228042707991e-06,8.14329888041521e-07,True,0.9772943895284059,PASS,0.0005005208859519855,0.00025802913231796003,0.00013106110224786883,True,0.9772943895279428,PASS,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,5.95,10.117419563765695,300.0,True,True,18,36,72,0.000178354282423674,9.01520117447426e-05,4.532425932245032e-05,True,0.9920762417926383,PASS,0.0001784851654176892,9.02181686379158e-05,4.535751994669472e-05,True,0.992076241790744,PASS,0.0001753591922674496,8.863809573852362e-05,4.4563132417663525e-05,True,0.9920762417931056,PASS,0.00017975813770228918,9.086161274701198e-05,4.568101386649098e-05,True,0.9920762417919321,PASS,0.00017334575181220688,8.762037020311971e-05,4.405146711828201e-05,True,0.9920762417907473,PASS,1.1169021291522961e-06,5.645559640999113e-07,2.8383261142730347e-07,True,0.9920762417906712,PASS,0.00017975813770228918,9.086161274701198e-05,4.568101386649098e-05,True,0.9920762417919321,PASS,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,10.48924395482891,10.0,True,True,18,36,72,0.07607996005443039,0.04417497948745413,0.024102464606636193,True,0.8740487875396141,PASS,0.07591985048214363,0.04408201365168799,0.02405174119279023,True,0.8740487875396135,PASS,0.0760328159589867,0.04414760579472756,0.02408752915068918,True,0.8740487875396145,PASS,0.09332305378101852,0.05418698936663018,0.02956515223103436,True,0.8740487875395858,PASS,0.10814288760932447,0.06279196043791523,0.03426014050478506,True,0.8740487875395907,PASS,0.0005880439796376424,0.00034144117215136494,0.00018629490862274203,True,0.8740487875395928,PASS,0.10814288760932447,0.06279196043791523,0.03426014050478506,True,0.8740487875395907,PASS,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,10.48924395482891,100.0,False,False,6,12,24,,,,,,NOT_AVAILABLE,,,,,,NOT_AVAILABLE,,,,,,NOT_AVAILABLE,,,,,,NOT_AVAILABLE,,,,,,NOT_AVAILABLE,,,,,,NOT_AVAILABLE,,,,,,NOT_AVAILABLE,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,10.48924395482891,300.0,False,False,0,0,0,,,,,,NOT_AVAILABLE,,,,,,NOT_AVAILABLE,,,,,,NOT_AVAILABLE,,,,,,NOT_AVAILABLE,,,,,,NOT_AVAILABLE,,,,,,NOT_AVAILABLE,,,,,,NOT_AVAILABLE,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,10.48924395482891,10.0,False,False,0,0,0,,,,,,NOT_AVAILABLE,,,,,,NOT_AVAILABLE,,,,,,NOT_AVAILABLE,,,,,,NOT_AVAILABLE,,,,,,NOT_AVAILABLE,,,,,,NOT_AVAILABLE,,,,,,NOT_AVAILABLE,False
